,molecule_chembl_id,IC50,smiles,pIC50
56,CHEMBL3221178,0.32,O=CN(O)C(CS(=O)(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1)[C@H]1CCCO1,9.494850021680094
57,CHEMBL76043,0.34,CC1(C)C(=O)NC(=O)N1CC(CS(=O)(=O)c1ccc(-c2ccc(OC(F)(F)F)cc2)cc1)N(O)C=O,9.468521082957745
58,CHEMBL2041308,0.34,CC1(C)NC(=O)N(CC(CS(=O)(=O)c2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)N(O)C=O)C1=O,9.468521082957745
59,CHEMBL5288452,0.34,Cc1ccc(-c2cc(-c3ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)cc3)no2)s1,9.468521082957745
60,CHEMBL5278145,0.34,CC1(C)NC(=O)N(C[C@H](CS(=O)(=O)c2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)N(O)C(=O)O)C1=O,9.468521082957745
61,CHEMBL2064542,0.37,C#CCOCCOCCOCCOCCOc1ccc(CN([C@@H](C(=O)NO)C(C)C)S(=O)(=O)c2ccc(OC)cc2)cc1,9.431798275933005
62,CHEMBL11306,0.38,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](CC(=O)NO)CC(C)C,9.42021640338319
63,CHEMBL1801044,0.4,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccccc3)cc2)CCOCC1,9.397940008672037
64,CHEMBL2425933,0.4,Cc1ccc(S(=O)(=O)N(CCn2cc(COCCOCCOCCOCCOCCF)nn2)[C@@H](C(=O)NO)C(C)C)cc1,9.397940008672037
65,CHEMBL3617407,0.43,COc1ccc(-c2ccc(S(=O)(=O)N(OC(C)C)[C@H](CCN3C(=O)c4ccccc4C3=O)C(=O)NO)cc2)cc1,9.366531544420413
66,CHEMBL5268799,0.43,COc1ccc(-c2ccc(S(=O)(=O)N(OC(C)C)[C@H](CCC3C(=O)c4ccccc4C3=O)C(=O)NO)cc2)cc1,9.366531544420413
67,CHEMBL400285,0.46,C[C@@H]1CN([C@@H](CN(c2ccc(Oc3ccc(Cl)cc3)cc2)S(C)(=O)=O)C(=O)NO)C[C@H](C)O1,9.337242168318426
68,CHEMBL1916054,0.46,O=C1[C@H](NS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC=C(CN2CCOCC2)CN1O,9.337242168318426
69,CHEMBL2041307,0.5,CC1(C)OC[C@H](C(CS(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)N(O)C=O)O1,9.301029995663981
70,CHEMBL140152,0.5,COc1ccc(S(=O)(=O)N2CCCCC(C)(C)[C@@H]2C(=O)NO)cc1,9.301029995663981
71,CHEMBL2115165,0.5,CC1(C)OC[C@H]([C@@H](CS(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)N(O)C=O)O1,9.301029995663981
72,CHEMBL235095,0.5,COc1ccc(S(=O)(=O)N(Cc2ccc(F)nc2)[C@@H](C(=O)NO)C(C)C)cc1,9.301029995663981
73,CHEMBL210517,0.5,Cc1ccc(C#Cc2ccc(S(=O)(=O)C(CCN3C(=O)c4ccccc4C3=O)C(=O)O)cc2)cc1,9.301029995663981
74,CHEMBL5284688,0.5,COc1ccc(S(=O)(=O)N2CCCC(C)(C)CC2C(=O)NO)cc1,9.301029995663981
75,CHEMBL101612,0.5,CN1CCN(Cc2cc(Br)cc(C(=O)NO)c2N(C)S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC1,9.301029995663981
76,CHEMBL310688,0.5,COc1ccc(S(=O)(=O)C(CC=C(C)C)(CC=C(C)C)C(=O)NO)cc1,9.301029995663981
77,CHEMBL126461,0.5,O=C(NO)C(CCn1nnc2ccccc2c1=O)CSc1ccc(-c2ccc(Cl)cc2)cc1,9.301029995663981
78,CHEMBL104599,0.5,CC(C)CN(C(CCSCc1ccccc1)C(=O)NO)S(=O)(=O)c1ccc(Oc2ccccc2)cc1,9.301029995663981
79,CHEMBL427616,0.5,COc1ccc(S(=O)(=O)N2CC[C@H](C(=O)NO)N(S(=O)(=O)c3ccc(OC)cc3)CC2)cc1,9.301029995663981
80,CHEMBL1957606,0.5,O=C(NO)[C@@H]1CS(=O)(=O)CN1S(=O)(=O)c1ccc(Oc2ccc(Cl)cc2)cc1,9.301029995663981
