,molecule_chembl_id,IC50,smiles,pIC50,ROMol
1679,CHEMBL2440429,6000.0,O=P(O)(O)C(Nc1cccc2ccccc12)P(=O)(O)O,5.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be0190>
1681,CHEMBL3922961,6000.0,COC(=O)C(C(=O)/C=C/c1ccc(O)cc1)C(=O)/C=C/c1ccc(O)cc1,5.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be0200>
1682,CHEMBL4581930,6000.0,O=C(CCCCCNCc1ccc(O)c2ncccc12)Nc1ccccc1,5.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be0270>
1683,CHEMBL33977,6000.0,COC(=O)COc1c(C)cc(-c2nn(C)c(=O)c3ccccc23)cc1C,5.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be02e0>
1684,CHEMBL3754100,6200.0,CC(C)ON(CC(=O)NO)S(=O)(=O)c1ccc(Br)s1,5.207608310501746,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be0350>
1685,CHEMBL4162521,6360.0,CCCCNC(=O)CC[C@H](NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)C(=O)O,5.196542884351587,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be03c0>
1686,CHEMBL4163839,6370.0,O=C(CC[C@H](NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)C(=O)O)NCc1ccccc1,5.195860567664649,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be0430>
1687,CHEMBL4634914,6400.0,O=C(Nc1ccc(-c2nc3ccc(Br)cc3[nH]2)cc1)c1ccc([N+](=O)[O-])cc1,5.1938200260161125,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be04a0>
1688,CHEMBL1084220,6700.0,COc1ccccc1C1CCN(c2ccc(S(=O)(=O)C3(C(=O)NO)CCOCC3)cc2)CC1,5.173925197299173,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be0510>
1690,CHEMBL44898,6700.0,O=C(O)CNS(=O)(=O)c1ccc(-c2ccc(Br)cc2)cc1,5.173925197299173,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be0580>
1691,CHEMBL3622222,6720.0,COc1cccc(C2=NN(c3ccc(S(N)(=O)=O)cc3)C(c3cccc4ccccc34)C2)c1,5.172630726946174,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be05f0>
1692,CHEMBL3827680,6740.0,O=C(CC[C@H](NS(=O)(=O)c1ccc(-c2ccccc2)cc1)C(=O)O)NCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,5.17134010346468,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be0660>
1693,CHEMBL4175156,6800.0,CCCCCNC(=O)CC[C@H](NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)C(=O)O,5.167491087293763,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be06d0>
1694,CHEMBL3622794,6910.0,NS(=O)(=O)c1ccc(N2N=C(c3cccc(I)c3)CC2c2ccc3ccccc3c2)cc1,5.1605219526258015,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be0740>
1695,CHEMBL398602,6930.0,COc1ccc(S(=O)(=O)N(Cc2ccc(Br)nc2)[C@@H](C(=O)O)C(C)C)cc1,5.159266765388193,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be07b0>
1696,CHEMBL2,6963.0,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,5.15720360482442,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be0820>
1697,CHEMBL808,6997.0,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.155088126087859,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be0890>
1698,CHEMBL4160618,7000.0,NC(=O)CC[C@H](NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)C(=O)O,5.154901959985743,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be0900>
1699,CHEMBL69726,7000.0,O=C1N[C@H](CS)C(=O)N(CC2CCCCC2)[C@H]1CC1CCCCC1,5.154901959985743,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be0970>
1700,CHEMBL254403,7000.0,Cc1cccc(COC(=O)c2cccc(S)n2)c1,5.154901959985743,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be09e0>
1701,CHEMBL3828051,7001.0,O=C(CC[C@H](NS(=O)(=O)c1ccc(-c2ccccc2)cc1)C(=O)O)NCCc1ccccc1,5.154839922348055,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be0a50>
1703,CHEMBL227553,7100.0,CC(C)[C@H](NS(=O)(=O)c1ccc(CCc2ccccc2)cc1)P(=O)(O)O,5.1487416512809245,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be0ac0>
1704,CHEMBL3794076,7297.04,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)Nc1ccc(C)cc1N)CC(C)C,5.136853273079707,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be0b30>
1705,CHEMBL573935,7300.0,O=C(O)Cc1ccccc1S(=O)(=O)c1ccc(-c2ccccc2)cc1,5.136677139879544,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be0ba0>
1706,CHEMBL3827781,7407.0,CC(C)NC(=O)CC[C@H](NS(=O)(=O)c1ccc(-c2ccccc2)cc1)C(=O)O,5.130357655348405,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be0c10>
1707,CHEMBL3827869,7432.0,NC(=O)CC[C@H](NS(=O)(=O)c1ccc(-c2ccccc2)cc1)C(=O)O,5.128894299014415,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be0c80>
1708,CHEMBL4171886,7500.0,CNC(=O)CC[C@H](NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)C(=O)O,5.1249387366083,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be0cf0>
1709,CHEMBL3972836,7590.0,CC(C)(Cc1ccc(C(F)(F)F)cc1)C(=O)NC[C@@]1(C2CC2)NC(=O)NC1=O,5.11975822410452,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be0d60>
1711,CHEMBL574589,7700.0,O=C(NO)c1ccccc1S(=O)(=O)c1ccc(-c2ccccc2)cc1,5.113509274827518,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be0dd0>
1712,CHEMBL297749,7700.0,O=C(CCc1ccccc1)NCCC[C@H](NS(=O)(=O)c1ccc(-c2ccc(Br)cc2)cc1)C(=O)O,5.113509274827518,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be0e40>
1713,CHEMBL155815,7800.0,COc1ccc(C#Cc2ccc(S(=O)(=O)N[C@H](Cc3ccccc3)C(=O)O)cc2)cc1,5.107905397309519,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be0eb0>
1714,CHEMBL43152,7900.0,CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(Br)cc2)cc1)C(=O)O,5.102372908709558,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be0f20>
1715,CHEMBL3622788,7910.0,Cc1ccccc1C1=NN(c2ccc(S(N)(=O)=O)cc2)C(c2ccc3ccccc3c2)C1,5.101823516502323,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be0f90>
1716,CHEMBL3622223,7970.0,NS(=O)(=O)c1ccc(N2N=C(c3cccc(Br)c3)CC2c2cccc3ccccc23)cc1,5.098541678603888,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1000>
1717,CHEMBL481600,8000.0,COc1cc(/C=C/c2n[nH]c(C)c2C)ccc1O,5.096910013008056,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1070>
1718,CHEMBL3827640,8170.0,CC(C)CNC(=O)CC[C@H](NS(=O)(=O)c1ccc(-c2ccccc2)cc1)C(=O)O,5.087777943467584,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be10e0>
1719,CHEMBL3752374,8200.0,O=C(N[C@H](CCN1C(=O)c2ccccc2C1=O)C(=O)NO)c1ccc(Oc2ccccc2)cc1,5.086186147616283,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1150>
1720,CHEMBL3828527,8500.0,CC(C)(C)NC(=O)CC[C@H](NS(=O)(=O)c1ccc(-c2ccccc2)cc1)C(=O)O,5.070581074285707,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be11c0>
1721,CHEMBL116438,8500.0,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,5.070581074285707,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1230>
1722,CHEMBL1784364,8500.0,Cc1cccnc1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCOCC2)CC1,5.070581074285707,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be12a0>
1723,CHEMBL3622784,8610.0,COc1ccc(C2=NN(c3ccc(S(N)(=O)=O)cc3)C(c3cccc4ccccc34)C2)cc1,5.064996848546345,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1310>
1724,CHEMBL3828315,8710.0,CCNC(=O)CC[C@H](NS(=O)(=O)c1ccc(-c2ccccc2)cc1)C(=O)O,5.059981844992336,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1380>
1725,CHEMBL3622789,8720.0,NS(=O)(=O)c1ccc(N2N=C(c3ccccc3Cl)CC2c2ccc3ccccc3c2)cc1,5.059483515067432,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be13f0>
1727,CHEMBL160667,8800.0,O=C(O)c1ccc(C#Cc2ccc(S(=O)(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)O)cc2)cc1,5.055517327849831,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1460>
1729,CHEMBL3585759,8800.0,CC[C@H](C(=O)O)N(Cc1cccnc1)S(=O)(=O)c1ccc(OC)cc1,5.055517327849831,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be14d0>
1730,CHEMBL1784365,8900.0,Cc1cc(C)c(CCC2CCN(S(=O)(=O)CC3(N(O)C=O)CCOCC3)CC2)cn1,5.050609993355087,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1540>
1731,CHEMBL1939876,8900.0,CCOC(=O)c1cc2cc(-c3cc(C(=O)NCc4ccc(C(=O)O)cc4)nn3C)ccc2[nH]1,5.050609993355087,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be15b0>
1732,CHEMBL415879,9000.0,c1cnc2c(c1)ccc1cccnc12,5.045757490560675,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1620>
1733,CHEMBL4777608,9000.0,COc1ccc(Nc2cc(-c3ccco3)cc3c2c(=O)[nH]c2ccccc23)cc1,5.045757490560675,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1690>
1734,CHEMBL201206,9290.0,O=C(O)CC(Cc1ccccc1)C(=O)c1ccc(C#Cc2ccccc2)cc1,5.031984286006358,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1700>
1735,CHEMBL3098992,9400.0,Cc1cc(N)c2cc(NC(=O)c3ccc(-c4cncc5ccccc45)cc3)ccc2n1,5.026872146400301,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1770>
1736,CHEMBL432307,9500.0,C[C@H](NS(=O)(=O)c1ccc(-c2ccc(Br)cc2)cc1)C(=O)O,5.022276394711152,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be17e0>
1737,CHEMBL235318,9820.0,COc1ccc(S(=O)(=O)N(Cc2ccc(F)nc2)[C@@H](C(=O)O)C(C)C)cc1,5.00788851221305,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1850>
1738,CHEMBL2048509,9910.0,COc1cc(C(O)C(CO)Oc2ccc(/C=C\CO)cc2OC)ccc1O,5.003926345514724,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be18c0>
1739,CHEMBL295871,10000.0,O=C(O)C(CCSCc1ccccc1)NS(=O)(=O)c1ccc(-c2ccc(Br)cc2)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1930>
1740,CHEMBL428554,10000.0,COc1ccc(S(=O)(=O)N(Cc2cccnc2F)[C@@H](C(=O)O)C(C)C)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be19a0>
1741,CHEMBL4635076,10000.0,O=[N+]([O-])c1ccc(-c2nc3ccc(Br)cc3[nH]2)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1a10>
1742,CHEMBL291133,10000.0,O=C(NCCCC[C@H](NS(=O)(=O)c1ccc(-c2ccc(Br)cc2)cc1)C(=O)O)OCc1ccccc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1a80>
1743,CHEMBL222303,10000.0,CC#CCOc1ccc(S(=O)(=O)C(C(=O)NO)C2CC[S+]([O-])CC2)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1af0>
1744,CHEMBL3358155,10000.0,O=C1NC(=O)[C@](CNC(=O)c2cc3cc(Cl)ccc3o2)(c2nccs2)N1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1b60>
1745,CHEMBL266612,10000.0,COc1ccc(-c2cnc(-c3ccc(S(=O)(=O)NC(C(=O)CCC(=O)O)C(C)C)cc3)o2)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1bd0>
1746,CHEMBL378740,10005.0,CCCC(C(=O)O)S(=O)(=O)c1ccc(-c2ccc(Cl)cc2)cc1,4.99978290702777,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1c40>
1747,CHEMBL377700,10030.0,O=C(O)CC(Cc1ccc(F)cc1)C(=O)c1ccc(C#Cc2ccccc2)cc1,4.998699066979582,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1cb0>
1749,CHEMBL378188,10330.0,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1-c1c(O)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12,4.985899678480379,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1d20>
1750,CHEMBL148169,10340.0,Cc1cc(COc2ccc([C@]3(C)CCN([C@H](C)C(=O)NO)C3=O)cc2)c2ccccc2n1,4.985479461242076,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1d90>
1751,CHEMBL572982,10500.0,O=C(O)CC(O)CCc1ccc(-c2ccccc2)cc1,4.978810700930062,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1e00>
1752,CHEMBL4647123,10700.0,Cc1ccc2nc(-c3ccc(NC(=O)c4ccc([N+](=O)[O-])cc4)cc3)[nH]c2c1,4.97061622231479,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1e70>
1753,CHEMBL3622219,10890.0,NS(=O)(=O)c1ccc(N2N=C(c3ccccc3)CC2c2cccc3ccccc23)cc1,4.962972120244225,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1ee0>
1754,CHEMBL2431026,11000.0,O=C(NCC[C@@H](NS(=O)(=O)c1ccc(OCc2cc(Br)cc(Br)c2)cc1)C(=O)NO)OCc1ccccc1,4.958607314841775,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1f50>
1755,CHEMBL3098991,11000.0,Cc1cc(N)c2cc(NC(=O)c3ccc(-c4cnc5ccccc5c4)cc3)ccc2n1,4.958607314841775,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be1fc0>
