,molecule_chembl_id,IC50,smiles,pIC50,molecular_weight,heavy_atoms,rotatable_bonds,n_hba,n_hbd,logp,reos_fulfilled
433,CHEMBL101121,5.0,O=C(NO)C(CCN1C(=O)c2ccccc2C1=O)COc1ccc(-c2ccccc2)cc1,8.301029995663981,430.152871804,32,8,5,2,3.540300000000002,True
434,CHEMBL257672,5.0,CN(c1cccn(O)c1=O)S(=O)(=O)c1ccc(Oc2ccccc2)cc1,8.301029995663981,372.077992612,26,5,6,1,2.703000000000001,True
435,CHEMBL338223,5.0,COc1ccc(S(=O)(=O)N2CCN(C(=O)N3CCN(C)CC3)CC2C(=O)NO)cc1,8.301029995663981,441.168204584,30,4,7,2,-0.7570999999999957,True
436,CHEMBL4871376,5.074,NC(=S)NNC(=O)Cn1c(=O)c(Cc2ccccc2)nc2ccccc21,8.294649537114289,367.110295784,26,4,5,3,0.8517000000000008,True
437,CHEMBL207026,5.1,CC(C)c1ccc(C#Cc2ccc(SC(CCN3C(=O)c4ccccc4C3=O)C(=O)O)cc2)cc1,8.292429823902063,483.1504292799999,35,7,4,1,5.441400000000006,True
438,CHEMBL1229516,5.1,CNC(=O)[C@@H](NC(=O)[C@H](CCCc1ccccc1)[C@H](C)N(O)C=O)C(C)(C)C,8.292429823902063,391.247106536,28,10,4,3,2.1384999999999987,True
439,CHEMBL1812914,5.2,O=C1NC(=O)C(c2ccc(Oc3ccccc3)cc2)(N2CCN(CC3CC3)CC2)C(=O)N1,8.2839966563652,434.19540531200005,32,6,6,2,2.0678,True
440,CHEMBL421295,5.28,O=C(/C=C/c1ccc(O)c(O)c1)Nc1ccccc1O,8.277366077466187,271.084457896,20,3,4,4,2.4553000000000007,True
441,CHEMBL3889936,5.3,CC(C)C(CS(=O)(=O)c1ccc(-c2cccc(CNC(=O)c3nc4ccccc4c(=O)[nH]3)c2)cc1)N(O)C=O,8.275724130399212,548.172955616,39,10,7,3,3.1660000000000013,True
442,CHEMBL3754094,5.3,CC(C)CN([C@@H](C(=O)NO)C(C)C)S(=O)(=O)c1ccc(-c2ccccc2)cc1,8.275724130399212,404.17697837599997,28,8,4,2,3.530300000000002,True
443,CHEMBL366111,5.3,O=C(NO)[C@@]1(O)COCC[C@H]1S(=O)(=O)c1ccc(OCc2ccc(Cl)cc2Cl)cc1,8.275724130399212,475.025928308,30,6,7,3,2.371500000000001,True
444,CHEMBL82169,5.4,COc1ccc(-c2ccc(S(=O)(=O)NC(C(=O)O)C3CCN(C(=O)OC(C)(C)C)CC3)cc2)cc1,8.267606240177031,504.19302236399994,35,7,6,2,3.740800000000003,True
445,CHEMBL252022,5.4,Cc1ccc(Oc2ccc(N(C[C@H](NC(=O)C(C)C)C(=O)NO)S(C)(=O)=O)cc2)cc1,8.267606240177031,449.1620565839999,31,9,6,3,2.1995199999999997,True
446,CHEMBL306301,5.5,CC1(C)OCC(C[C@@H](CS(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)N(O)C=O)O1,8.259637310505756,519.117472388,35,10,8,1,3.9090000000000025,True
447,CHEMBL3221179,5.5,CC1(C)OC[C@H](CC(CS(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)N(O)C=O)O1,8.259637310505756,519.117472388,35,10,8,1,3.9090000000000025,True
448,CHEMBL268114,5.5,COc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)c3cn(C)cn3)CC[C@@H]2C(=O)NO)cc1,8.259637310505756,473.1038900760001,31,6,9,2,-0.6119999999999974,True
449,CHEMBL401821,5.5,Cc1ccc(Oc2ccc(N(CC(C)(O)C(=O)NO)S(C)(=O)=O)cc2)cc1,8.259637310505756,394.1198574239999,27,7,6,3,1.809719999999999,True
451,CHEMBL5182668,5.54,O=C(NO)C(Cc1ccccc1)NS(=O)(=O)c1ccc(-c2cn(-c3ccc(-c4ccccc4)cc3)nn2)cc1,8.25649023527157,539.1627252800001,39,9,7,3,3.9963000000000024,True
452,CHEMBL4780030,5.56,O=C(Nc1ccc([N+](=O)[O-])cc1)C(c1ccccc1)N(Cc1ccccc1)C(=O)Cc1ccccc1,8.254925208417943,479.18450628,36,9,4,1,5.5461000000000045,True
453,CHEMBL1165627,5.67,COc1ccccc1NC(=O)/C=C/c1ccc(O)c(O)c1,8.246416941107093,285.10010796,21,4,4,3,2.758300000000001,True
454,CHEMBL4752635,5.7,COc1ccc(S(=O)(=O)N2C[C@H](NC(=O)[C@@H](N)CCCCN)C[C@@H]2C(=O)NO)cc1,8.244125144327509,443.183854648,30,10,8,5,-1.0952999999999955,True
455,CHEMBL2336365,5.71,O=C(/C=C/c1cccc(O)c1)Nc1ccccc1O,8.243363891754152,255.089543276,19,3,3,3,2.7497000000000003,True
456,CHEMBL2336780,5.82,COc1ccccc1NC(=O)/C=C/c1cccc(O)c1,8.235077015350111,269.10519334,20,4,3,2,3.0527000000000006,True
457,CHEMBL2336338,5.82,O=C(/C=C/c1ccc(O)cc1)Nc1ccccc1O,8.235077015350111,255.089543276,19,3,3,3,2.7497000000000003,True
458,CHEMBL1916051,5.9,O=C1[C@H](NS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCCCN1O,8.229147988357855,410.070320388,27,5,5,2,3.180900000000001,True
459,CHEMBL160153,5.9,CSc1ccc(-n2nnc(-c3ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)cc3)n2)cc1,8.229147988357855,447.103496152,30,8,8,2,2.4387000000000008,True
460,CHEMBL2336341,5.91,COc1ccccc1NC(=O)/C=C/c1ccc(O)cc1,8.228412519118745,269.10519334,20,4,3,2,3.0527000000000006,True
461,CHEMBL2336783,5.91,Cc1ccccc1NC(=O)/C=C/c1cccc(O)c1,8.228412519118745,253.11027872,19,3,2,2,3.352520000000002,True
462,CHEMBL1165152,5.91,Cc1ccccc1NC(=O)/C=C/c1ccc(O)c(O)c1,8.228412519118745,269.10519334,20,3,3,3,3.0581200000000015,True
463,CHEMBL2336344,5.97,Cc1ccccc1NC(=O)/C=C/c1ccc(O)cc1,8.224025668870631,253.11027872,19,3,2,2,3.352520000000001,True
464,CHEMBL80798,6.0,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(-c4ccccn4)cc3)CC2)cc1,8.221848749616356,481.16714196400005,34,7,7,2,3.0711000000000013,True
465,CHEMBL195743,6.0,COc1ccc(Oc2ccc(C3(N4CCN(CCO)CC4)C(=O)NC(=O)NC3=O)cc2)cc1,8.221848749616356,454.185234552,33,7,8,3,0.6587,True
466,CHEMBL36999,6.0,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2c(C(=O)NO)cnc3c(C(C)C)cccc23)cc1,8.221848749616356,505.167141964,36,8,6,2,4.881300000000004,True
467,CHEMBL312432,6.0,Cc1ccc(CN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(OCc4ccc(Cl)cc4)cc3)CC2)cc1,8.221848749616356,528.148570708,36,8,6,2,4.541320000000003,True
468,CHEMBL221717,6.0,C#CCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(Br)cc3)CC2)cc1,8.221848749616356,506.05110493600006,31,7,6,2,2.7750000000000004,True
470,CHEMBL123499,6.0,CCCCCCN(C)C(=O)N1CCN(S(=O)(=O)c2ccc(OC)cc2)C(C(=O)NO)C1,8.221848749616356,456.20425574399997,31,9,6,2,1.5076000000000005,True
472,CHEMBL2425946,6.0,COc1ccc(S(=O)(=O)N(CCN=[N+]=[N-])[C@@H](C(=O)NO)C(C)C)cc1,8.221848749616356,371.126339772,25,9,6,2,1.5261999999999998,True
473,CHEMBL78962,6.0,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(Cl)c(Cl)c3)CC2)cc1,8.221848749616356,472.062648164,30,6,6,2,3.315900000000002,True
474,CHEMBL76974,6.0,COC(=O)c1cccc(C(=O)NO)c1N(Cc1cccnc1)S(=O)(=O)c1ccc(OC)cc1,8.221848749616356,471.110021012,33,8,8,2,2.391300000000001,True
